Time,mode_type,location_type,street,xstreet1,xstreet2,x_cord,y_cord,lat,long
2020-01-06 08:41:18+00,bike,Intersection,,WYMAN ST,CENTRE ST,762494.34,2942808.89,42.32254534,-71.10682375
2020-01-07 17:30:18+00,bike,Street,SAINT BOTOLPH ST,DURHAM ST,CUMBERLAND ST,769124.63,2950679.53,42.34392609,-71.08196666
2020-01-07 22:51:35+00,bike,Street,BYNNER ST,S HUNTINGTON AVE,JAMAICAWAY,760520.4,2943321.29,42.32416463,-71.1140309
2020-01-09 13:08:19+00,bike,Street,SAGAMORE ST,ELTON ST,BELFORT ST,776542.17,2939944.57,42.31446556,-71.05476127
2020-01-15 15:38:40+00,bike,Intersection,,TREMONT ST,MELNEA CASS BLVD,767678.15,2947519.82,42.33540515,-71.08757123
2020-01-16 16:12:52+00,bike,Street,DORCHESTER AVE,DORCHESTER AVE,DORCHESTER AVE,773358.05,2927391.24,42.27976326,-71.06650709
2020-01-21 13:50:19+00,bike,Street,SEAVER ST,ELM HILL AVE,HUMBOLDT AVE,767167.58,2937703.72,42.30828851,-71.08989079
2020-01-26 18:16:21+00,bike,Intersection,,GLOUCESTER ST,COMMONWEALTH AVE,768425.6,2952964.16,42.35033464,-71.08470876
2020-01-28 10:03:14+00,bike,Street,LOMASNEY WAY,STANIFORD ST,COTTING ST,773968.57,2958424.77,42.36524208,-71.0641134
2020-01-28 16:34:03+00,bike,Street,CHARLES ST,FRUIT ST,BLOSSOM ST,772239.56,2958102.08,42.36420344,-71.06982968
2020-01-28 19:34:32+00,bike,Intersection,,MASSACHUSETTS AVE,COLUMBIA RD,774756.61,2942095.1,42.32042262,-71.06149491
2020-02-03 14:47:55+00,bike,Intersection,,BACK ST,GLOUCESTER ST,768144.47,2953738.16,42.35246227,-71.08573485
2020-02-04 09:16:35+00,bike,Intersection,,HARRISON AVE,HERALD ST,774238.24,2951544.15,42.34635843,-71.06323272
2020-02-04 16:54:31+00,bike,Intersection,,MASSACHUSETTS AVE,SHIRLEY ST,773267.61,2944458.39,42.32692846,-71.06695626
2020-02-04 17:35:45+00,bike,Intersection,,HUNTINGTON AVE,W NEWTON ST,769216.85,2951183.15,42.34543689,-71.08181396
2020-02-09 21:08:07+00,bike,Intersection,,BOYLSTON ST,TREMONT ST,773874.3,2953738.16,42.35238395,-71.06453754
2020-02-12 08:53:02+00,bike,Intersection,,WALDECK ST,MELVILLE AVE,773388.3,2932708.37,42.29468417,-71.06673067
2020-02-12 16:57:52+00,bike,Intersection,,WASHINGTON ST,SCHOOL ST,764494.68,2939926.49,42.31461035,-71.09947709
2020-02-14 11:28:46+00,bike,Intersection,,E ST,W EIGHTH ST,776987.05,2947245.89,42.33452481,-71.05314788
2020-02-14 16:23:59+00,bike,Intersection,,DORCHESTER AVE,LEEDSVILLE ST,775466.74,2936535.87,42.3051578,-71.05897542
2020-02-18 08:08:58+00,bike,Street,JOHN F. FITZGERALD SURFACE RD,BEACH ST,KNEELAND ST,775225.1,2953105.03,42.35062762,-71.05955254
2020-02-19 10:15:58+00,bike,Intersection,,MELNEA CASS BLVD,HARRISON AVE,769895.34,2946303.62,42.33203814,-71.07939319
2020-02-24 12:16:59+00,bike,Intersection,,MASSACHUSETTS AVE,NEWBURY ST,767503.41,2952151.9,42.34811805,-71.08813477
