end station name,Average trip duration,station latitude,station longitude,bikes entering
1200 Beacon St,1886.0295081967213,42.34414899,-71.11467361,305
160 Arsenal,3522.7428571428572,42.36466403,-71.17569387,35
175 N Harvard St,1775.544164037855,42.363796,-71.129164,634
18 Dorrance Warehouse,262705.0,42.387151,-71.075978,35
191 Beacon St,717.2419006479481,42.38032335,-71.10878613,463
30 Dane St,978.6645569620254,42.38100143,-71.10402523,632
359 Broadway - Broadway at Fayette Street,719.8262839879154,42.370803,-71.104412,662
515 Somerville Ave (Temp. Winter Location),1074.7301587301588,42.38322727,-71.10606909,378
555 Metropolitan Ave,2749.25,42.2681,-71.11924,4
606 American Legion Hwy at Canterbury St,685.8571428571429,42.28578,-71.109725,7
645 Summer St,779.8403361344538,42.34178089,-71.03987017,119
699 Mt Auburn St,1017.8666666666667,42.37500235,-71.14871614,225
7 Acre Park,10972.91489361702,42.41143223,-71.06823265,47
700 Commonwealth Ave.,868.5129533678756,42.34960945,-71.10391524,579
700 Huron Ave,2369.4606741573034,42.38078817,-71.15412891,89
75 Binney St,641.3368644067797,42.36550729,-71.0801376,472
84 Cambridgepark Dr,1306.8762886597938,42.39359999999999,-71.143941,97
855 Broadway,1181.6136363636363,42.39841773,-71.02390923,44
955 Mass Ave,819.3516998827668,42.36895181,-71.1099878,853
Airport T Stop - Bremen St at Brooks St,1259.0,42.37410288,-71.03276432,48
Albany St at E. Brookline St,754.6651685393258,42.33664795,-71.0689446,445
Alewife MBTA at Steel Place,812.608938547486,42.39558846,-71.14260614,358
Alewife Station at Russell Field,1360.8146341463414,42.396105,-71.139459,205
American Legion Hwy at Cummins Hwy,1148.857142857143,42.27881158,-71.11687703,7
Ames St at Broadway,799.6045197740114,42.3636929,-71.0875672,885
Ames St at Main St,721.8870836718115,42.3625,-71.08822,1231
Aquarium T Stop - 200 Atlantic Ave,2272.4025735294117,42.35991176,-71.05142981,544
Arsenal Yards,1718.878048780488,42.36277389,-71.15764854,164
Ashmont T Stop,864.42,42.28569439999999,-71.0641389,50
Assembly Square T,957.7272727272727,42.39223284,-71.07746601,143
Auburndale,2616.0,42.34805541,-71.24775946,1
B.U. Central - 725 Comm. Ave.,872.2303262955854,42.350406,-71.108279,521
Back Bay T Stop - Dartmouth St at Stuart St,792.9689213893967,42.34807412,-71.07657015,1094
Bacon St at Washington St,1345.9166666666667,42.35711921,-71.18604537,12
Bartlett St at John Elliot Sq,5761.165289256199,42.3294633,-71.0901582,121
Beacon St at Tappan St,1691.921052631579,42.3382668,-71.13894682,114
Beacon at Walnut,241.66666666666666,42.33006232,-71.20668411,3
Belgrade Ave at Walworth St,1334.9285714285713,42.28634589,-71.1367213,14
Bellingham Square,1083.2,42.39319611,-71.0334456,5
Bennington St at Byron St,1122.9473684210527,42.38353252,-71.01619095,19
Bennington St at Constitution Beach,1489.8,42.38522394,-71.01063069,20
Berkshire Street at Cambridge Street,728.8998716302953,42.37207658,-71.08995434,779
Binney St / Sixth St,649.0550161812298,42.36608797,-71.08633604,309
Blue Hill Ave at Almont St,1964.0,42.27462067,-71.09372552,2
