id,station_name,Average exit trip duration,station_latitude_x,station_longitude_x,bikes_leaving,bikes_entering,Average enter trip duration
2,175 N Harvard St,980.1986532,42.363796,-71.129164,594,634,1775.544164
7,555 Metropolitan Ave,11617.25,42.2681,-71.11924,4,4,2749.25
8,606 American Legion Hwy at Canterbury St,1172.181818,42.28578,-71.109725,11,7,685.8571429
9,645 Summer St,880.3584906,42.34178089,-71.03987017,106,119,779.8403361
12,700 Commonwealth Ave.,725.517757,42.34960945,-71.10391524,535,579,868.5129534
18,Airport T Stop - Bremen St at Brooks St,963.8478261,42.37410288,-71.03276432,46,48,1259.0
19,Albany St at E. Brookline St,827.381733,42.33664795,-71.0689446,427,445,754.6651685
22,American Legion Hwy at Cummins Hwy,1151.2,42.27881158,-71.11687703,5,7,1148.857143
25,Aquarium T Stop - 200 Atlantic Ave,1001.87234,42.35991176,-71.05142981,564,544,2272.402574
27,Ashmont T Stop,758.3541667,42.2856944,-71.0641389,48,50,864.42
30,B.U. Central - 725 Comm. Ave.,1292.21288,42.350406,-71.108279,559,521,872.2303263
31,Back Bay T Stop - Dartmouth St at Stuart St,808.0132518,42.34807412,-71.07657015,981,1094,792.9689214
33,Bartlett St at John Elliot Sq,980.6300578,42.3294633,-71.0901582,173,121,5761.165289
36,Belgrade Ave at Walworth St,1122.272727,42.28634589,-71.1367213,22,14,1334.928571
38,Bennington St at Byron St,1894.166667,42.38353252,-71.01619095,36,19,1122.947368
39,Bennington St at Constitution Beach,1423.846154,42.38522394,-71.01063069,13,20,1489.8
42,Blue Hill Ave at Almont St,1684.666667,42.27462067,-71.09372552,3,2,1964.0
43,Blue Hill Ave at Havelock St,2071.0,42.286012,-71.090986,7,6,2446.333333
44,Boston City Hall - 28 State St,825.9812646,42.35892,-71.057629,854,840,1482.645238
45,Boston College T,945.8,42.33987892,-71.16708934,15,13,11417.76923
46,Boston Convention and Exhibition Center - Summer St at West Side Dr,996.3615819,42.34776345,-71.04535997,177,169,904.6153846
47,Boston East - 126 Border St,213.1891892,42.37331213,-71.04102008,37,19,45481.57895
48,Boston Landing,1449.209302,42.35656092,-71.14167538,129,146,1481.917808
49,Bowdoin St at Quincy St,1814.323944,42.30785224,-71.06512249,71,54,41577.16667
50,Boylston St at Berkeley St,1767.605611,42.35114198,-71.07329249,606,647,926.251932
51,Boylston St at Charles St (Temp Winter Location),1054.433766,42.35258525,-71.06770277,385,626,1277.627796
52,Boylston St at Exeter St,3234.973199,42.34958942,-71.07946779,597,720,897.9111111
53,Boylston St at Fairfield St,1032.244444,42.34880382,-71.08236909,1260,1337,1212.273747
54,Boylston St at Jersey St,985.9958805,42.34465063,-71.09732501,971,970,952.2257732
55,Boylston St at Massachusetts Ave,1262.731833,42.34740621,-71.08678415,1555,1552,900.2332474
56,Brigham Circle - Francis St at Huntington Ave,831.046371,42.33462893,-71.10407918,496,480,803.6104167
58,Brighton Mills - 370 Western Ave,5944.723464,42.36154571,-71.13776207,358,386,1452.787565
61,Broadway St at Mt Pleasant St,729.9404255,42.38614141,-71.0782814,235,193,765.5958549
69,Bunker Hill Community College,837.9299065,42.37408991,-71.06905997,214,162,7957.858025
79,Central Square East Boston,595.2222222,42.37544913,-71.03918549,99,84,634.8333333
82,Centre St at Parkway YMCA,2918.090909,42.28277901,-71.15728851,11,6,647.6666667
