start station name,Average trip duration,station latitude,station longitude,bikes leaving
1200 Beacon St,872.6114649681529,42.34414899,-71.11467361,314
160 Arsenal,2739.2631578947367,42.36466403,-71.17569387,38
175 N Harvard St,980.1986531986532,42.363796,-71.129164,594
191 Beacon St,659.0470347648262,42.38032335,-71.10878613,489
30 Dane St,875.882911392405,42.38100143,-71.10402523,632
359 Broadway - Broadway at Fayette Street,727.4353499406881,42.370803,-71.104412,843
515 Somerville Ave (Temp. Winter Location),1067.191135734072,42.38322727,-71.10606909,361
555 Metropolitan Ave,11617.25,42.2681,-71.11924,4
606 American Legion Hwy at Canterbury St,1172.1818181818182,42.28578,-71.109725,11
645 Summer St,880.3584905660377,42.34178089,-71.03987017,106
699 Mt Auburn St,2003.8583690987125,42.37500235,-71.14871614,233
7 Acre Park,12737.9,42.41143223,-71.06823265,40
700 Commonwealth Ave.,725.5177570093458,42.34960945,-71.10391524,535
700 Huron Ave,2186.2613636363635,42.38078817,-71.15412891,88
75 Binney St,738.4258289703316,42.36550729,-71.0801376,573
84 Cambridgepark Dr,1271.8813559322034,42.3936,-71.14394099999998,118
855 Broadway,19518.823529411766,42.39841773,-71.02390923,51
955 Mass Ave,1327.9899193548388,42.36895181,-71.1099878,992
Airport T Stop - Bremen St at Brooks St,963.8478260869565,42.37410288,-71.03276432,46
Albany St at E. Brookline St,827.3817330210773,42.33664795,-71.0689446,427
Alewife MBTA at Steel Place,731.4763231197771,42.39558846,-71.14260614,359
Alewife Station at Russell Field,1149.983870967742,42.396105,-71.139459,186
American Legion Hwy at Cummins Hwy,1151.2,42.27881158,-71.11687703,5
Ames St at Broadway,685.3029612756264,42.3636929,-71.0875672,878
Ames St at Main St,694.9820205479452,42.3625,-71.08822,1168
Aquarium T Stop - 200 Atlantic Ave,1001.8723404255319,42.35991176,-71.05142981,564
Arsenal Yards,1758.06432748538,42.36277389,-71.15764854,171
Ashmont T Stop,758.3541666666666,42.2856944,-71.0641389,48
Assembly Square T,1033.8163265306123,42.39223284,-71.07746601,98
Auburndale,1536.5,42.34805541,-71.24775946,2
B.U. Central - 725 Comm. Ave.,1292.2128801431127,42.350406,-71.108279,559
Back Bay T Stop - Dartmouth St at Stuart St,808.013251783894,42.34807412,-71.07657015,981
Bacon St at Washington St,1408.7857142857142,42.35711921,-71.18604537,14
Bartlett St at John Elliot Sq,980.6300578034682,42.3294633,-71.0901582,173
Beacon St at Tappan St,1009.7621621621622,42.3382668,-71.13894682,185
Beacon at Walnut,263.5,42.33006232,-71.20668411,4
Belgrade Ave at Walworth St,1122.2727272727273,42.28634589,-71.1367213,22
Bellingham Square,748.8333333333334,42.39319611,-71.0334456,6
Bennington St at Byron St,1894.1666666666667,42.38353252,-71.01619095,36
Bennington St at Constitution Beach,1423.8461538461538,42.38522394000001,-71.01063069,13
Berkshire Street at Cambridge Street,740.5329268292683,42.37207658,-71.08995434,820
Binney St / Sixth St,580.0127388535032,42.36608797,-71.08633604,314
Blue Hill Ave at Almont St,1684.6666666666667,42.27462067,-71.09372552,3
Blue Hill Ave at Havelock St,2071.0,42.28601199999999,-71.090986,7
Boston City Hall - 28 State St,825.9812646370024,42.35892,-71.057629,854
Boston College T,945.8,42.33987892,-71.16708934,15
Boston Convention and Exhibition Center - Summer St at West Side Dr,996.361581920904,42.34776345,-71.04535997,177
Boston East - 126 Border St,213.1891891891892,42.37331213,-71.04102008,37
Boston Landing,1449.2093023255813,42.35656092,-71.14167538,129
Bowdoin St at Quincy St,1814.3239436619717,42.30785224,-71.06512249,71
Boylston St at Berkeley St,1767.6056105610562,42.35114198,-71.07329249,606
Boylston St at Charles St (Temp Winter Location),1054.4337662337662,42.35258525,-71.06770277,385
Boylston St at Exeter St,3234.9731993299833,42.34958942,-71.07946779,597
Boylston St at Fairfield St,1032.2444444444445,42.34880382,-71.08236909,1260
Boylston St at Jersey St,985.9958805355304,42.34465063,-71.09732501,971
Boylston St at Massachusetts Ave,1262.7318327974276,42.34740621,-71.08678415,1555
Brigham Circle - Francis St at Huntington Ave,831.046370967742,42.33462893,-71.10407918,496
Brighton Center - Washington St at Cambridge St,922.1333333333333,42.34894857,-71.15027189,285
Brighton Mills - 370 Western Ave,5944.723463687151,42.36154571,-71.13776207,358
Broad Canal Way at Third Street,715.9635627530364,42.3630455,-71.08287079,247
Broadway Opposite Norwood Ave  (Temp Winter Station),837.0,42.396764,-71.102376,39
Broadway St at Mt Pleasant St,729.9404255319149,42.38614141,-71.07828139999998,235
Broadway at Beacham St,1306.9767441860465,42.3983606,-71.06373843,43
Broadway at Central St,872.2410714285714,42.3951715,-71.09850592,224
Broadway at Gerrish Ave,2561.4166666666665,42.39453079,-71.03085594,12
Broadway at Lynde St,1477.6363636363637,42.39648358,-71.0654676,44
Broadway at Maple St,578.4,42.41034691,-71.05260458,20
Brookline Town Hall,1453.093023255814,42.33376473,-71.12046447,172
Brookline Village - Station Street at MBTA,1003.3270440251572,42.33274392,-71.11626681,318
Bunker Hill Community College,837.9299065420561,42.37408991,-71.06905997,214
California at Chapel,1820.8125,42.36514871,-71.20236039,16
Cambridge Crossing at North First Street,959.5020202020202,42.371141,-71.076198,990
Cambridge Dept. of Public Works -147 Hampshire St.,761.1005110732539,42.37119728,-71.09759867,587
Cambridge Main Library at Broadway / Trowbridge St,776.7997542997543,42.37337899999999,-71.111075,814
Cambridge St - at Columbia St / Webster Ave,785.2018018018018,42.372969,-71.094445,555
Cambridge St at Joy St,2455.75429726997,42.36125722,-71.06528744,989
CambridgeSide Galleria - CambridgeSide PL at Land Blvd,763.204081632653,42.36707407,-71.07679278,441
Cary Square,432.0,42.39813565,-71.03070972,10
Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,1162.9737489745694,42.366426,-71.105495,1219
Central Square East Boston,595.2222222222222,42.37544913,-71.03918549,99
Central Square at Mass Ave / Essex St,785.6098360655737,42.36507,-71.1031,3050
Centre St at Commonwealth Ave,1184.6666666666667,42.3362358,-71.1934421,9
Centre St at Parkway YMCA,2918.090909090909,42.28277901,-71.15728851,11
Centre St at W. Roxbury Post Office,1030.0,42.28633199,-71.15344755,17
Centre St at Washington St,2365.0,42.35574335,-71.18641943,6
