start_station_name,Average_trip_duration,station_latitude,station_longitude,bikes_leaving
1200 Beacon St,872.611465,42.34414899,-71.11467361,314
160 Arsenal,2739.263158,42.36466403,-71.17569387,38
175 N Harvard St,980.1986532,42.363796,-71.129164,594
191 Beacon St,659.0470348,42.38032335,-71.10878613,489
30 Dane St,875.8829114,42.38100143,-71.10402523,632
359 Broadway - Broadway at Fayette Street,727.4353499,42.370803,-71.104412,843
515 Somerville Ave (Temp. Winter Location),1067.191136,42.38322727,-71.10606909,361
555 Metropolitan Ave,11617.25,42.2681,-71.11924,4
606 American Legion Hwy at Canterbury St,1172.181818,42.28578,-71.109725,11
645 Summer St,880.3584906,42.34178089,-71.03987017,106
699 Mt Auburn St,2003.858369,42.37500235,-71.14871614,233
7 Acre Park,12737.9,42.41143223,-71.06823265,40
700 Commonwealth Ave.,725.517757,42.34960945,-71.10391524,535
700 Huron Ave,2186.261364,42.38078817,-71.15412891,88
75 Binney St,738.425829,42.36550729,-71.0801376,573
84 Cambridgepark Dr,1271.881356,42.3936,-71.143941,118
855 Broadway,19518.82353,42.39841773,-71.02390923,51
955 Mass Ave,1327.989919,42.36895181,-71.1099878,992
Airport T Stop - Bremen St at Brooks St,963.8478261,42.37410288,-71.03276432,46
Albany St at E. Brookline St,827.381733,42.33664795,-71.0689446,427
Alewife MBTA at Steel Place,731.4763231,42.39558846,-71.14260614,359
Alewife Station at Russell Field,1149.983871,42.396105,-71.139459,186
American Legion Hwy at Cummins Hwy,1151.2,42.27881158,-71.11687703,5
Ames St at Broadway,685.3029613,42.3636929,-71.0875672,878
Ames St at Main St,694.9820205,42.3625,-71.08822,1168
Aquarium T Stop - 200 Atlantic Ave,1001.87234,42.35991176,-71.05142981,564
Arsenal Yards,1758.064327,42.36277389,-71.15764854,171
Ashmont T Stop,758.3541667,42.2856944,-71.0641389,48
Assembly Square T,1033.816327,42.39223284,-71.07746601,98
Auburndale,1536.5,42.34805541,-71.24775946,2
B.U. Central - 725 Comm. Ave.,1292.21288,42.350406,-71.108279,559
Back Bay T Stop - Dartmouth St at Stuart St,808.0132518,42.34807412,-71.07657015,981
Bacon St at Washington St,1408.785714,42.35711921,-71.18604537,14
Bartlett St at John Elliot Sq,980.6300578,42.3294633,-71.0901582,173
Beacon St at Tappan St,1009.762162,42.3382668,-71.13894682,185
Beacon at Walnut,263.5,42.33006232,-71.20668411,4
Belgrade Ave at Walworth St,1122.272727,42.28634589,-71.1367213,22
Bellingham Square,748.8333333,42.39319611,-71.0334456,6
Bennington St at Byron St,1894.166667,42.38353252,-71.01619095,36
Bennington St at Constitution Beach,1423.846154,42.38522394,-71.01063069,13
Berkshire Street at Cambridge Street,740.5329268,42.37207658,-71.08995434,820
Binney St / Sixth St,580.0127389,42.36608797,-71.08633604,314
Blue Hill Ave at Almont St,1684.666667,42.27462067,-71.09372552,3
Blue Hill Ave at Havelock St,2071,42.286012,-71.090986,7
